route_long_name,route_short_name,agency_id,route_type,route_id,route_color,route_text_color
,EC,11,2,26,,
,EC,12,2,58,,
,EC,4,2,33,,
,EC,5,2,40,,
,EC 62,12,2,10,,
,EC 62,7,2,81,,
,EC 85,7,2,1,,
,EC 89,7,2,46,,
,EC 95,10,2,18,,
,EC 95,7,2,27,,
,EC 96,10,2,47,,
,EC 96,7,2,87,,
,EC 97,7,2,77,,
,ECE,6,2,78,,
,ECE 20,7,2,82,,
,ECE 75,7,2,53,,
,ECE 85,7,2,5,,
,ECE 88,7,2,54,,
,EN,10,2,2,,
,EN,12,2,48,,
,EN,3,2,70,,
,EN,5,2,71,,
,IC,10,2,72,,
,IC,11,2,65,,
,IC,12,2,55,,
,IC,13,2,34,,
,IC,2,2,59,,
,IC,4,2,19,,
,IC,6,2,73,,
,IC 17,7,2,35,,
,IC 24,7,2,79,,
,IC 27,7,2,88,,
,IC 33,7,2,28,,
,IC 34,7,2,56,,
,IC 35,7,2,66,,
,IC 51,7,2,36,,
,IC 55,7,2,41,,
,IC 56,7,2,20,,
,IC 57,7,2,11,,
,IC 60,7,2,89,,
,IC 61,7,2,21,,
,IC 87,7,2,29,,
,ICE,1,2,83,,
,ICE,12,2,17,,
,ICE,4,2,6,,
,ICE 1,7,2,37,,
,ICE 10,7,2,60,,
,ICE 11,7,2,30,,
,ICE 12,7,2,74,,
,ICE 13,7,2,49,,
,ICE 14,7,2,75,,
,ICE 15,7,2,38,,
,ICE 16,7,2,61,,
,ICE 17,7,2,42,,
,ICE 18,7,2,50,,
,ICE 20,7,2,12,,
,ICE 22,7,2,43,,
,ICE 23,7,2,7,,
,ICE 24,7,2,67,,
,ICE 25,7,2,31,,
,ICE 26,7,2,44,,
,ICE 28,7,2,13,,
,ICE 29,7,2,14,,
,ICE 3,7,2,51,,
,ICE 33,7,2,3,,
,ICE 4,7,2,84,,
,ICE 41,7,2,8,,
,ICE 42,7,2,80,,
,ICE 43,7,2,4,,
,ICE 45,7,2,32,,
,ICE 47,7,2,68,,
,ICE 49,7,2,62,,
,ICE 50,7,2,15,,
,ICE 51,7,2,22,,
,ICE 55,7,2,45,,
,ICE 6,7,2,85,,
,ICE 60,7,2,76,,
,ICE 62,7,2,90,,
,ICE 77,7,2,69,,
,ICE 78,7,2,57,,
,ICE 79,7,2,16,,
,ICE 82,7,2,52,,
,ICE 82,8,2,23,,
,ICE 83,7,2,24,,
,ICE 83,8,2,9,,
