stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
's-Hertogenbosch,,590948,51.69054,5.293723,1.0,
's-Hertogenbosch,590948.0,48038,51.69054,5.293723,,
Aachen Hbf,609021.0,330461,50.7678,6.091499,,
Aachen Süd(Gr),,357472,50.731915,6.04541,1.0,
Aachen Süd(Gr),357472.0,60307,50.731915,6.04541,,
"Aachen, Hbf",,609021,50.767723,6.092051,1.0,
Altena(Westf),625442.0,132603,51.301983,7.668808,,
"Altena, Bahnhof",,625442,51.301983,7.66881,1.0,
Altenbeken,,6520,51.766434,8.943322,1.0,
Altenbeken,6520.0,178110,51.766434,8.943319,,
Amersfoort Centraal,,370896,52.153465,5.373909,1.0,
Amersfoort Centraal,370896.0,498027,52.153465,5.373909,,
Amsterdam Centraal,,497359,52.37919,4.899431,1.0,
Amsterdam Centraal,497359.0,351656,52.37919,4.899431,,
Andernach,232163.0,632291,50.434544,7.404839,,
Andernach Bahnhof,,232163,50.434544,7.40484,1.0,
Anklam,,86032,53.855984,13.701563,1.0,
Anklam,86032.0,245304,53.856102,13.701827,,
Ansbach,,144006,49.29803,10.578246,1.0,
Ansbach,144006.0,12550,49.29803,10.578239,,
Apeldoorn,,658688,52.20943,5.968491,1.0,
Apeldoorn,658688.0,41391,52.20943,5.968491,,
Arnhem Centraal,,175408,51.98478,5.901003,1.0,
Arnhem Centraal,175408.0,299850,51.98478,5.901003,,
Aschaffenburg Hbf,,669387,49.980556,9.1437,1.0,
Aschaffenburg Hbf,669387.0,540276,49.980556,9.143697,,
Augsburg Hbf,,178317,48.36544,10.885569,1.0,
Augsburg Hbf,178317.0,8751,48.36544,10.88557,,
Augustfehn,,71580,53.220894,7.759677,1.0,
Augustfehn,71580.0,458097,53.22084,7.759684,,
Bad Bentheim,,271506,52.30985,7.158539,1.0,
Bad Bentheim,271506.0,592464,52.30985,7.158539,,
Bad Bentheim(Gr),,32302,52.3091,7.04016,1.0,
Bad Bentheim(Gr),32302.0,402368,52.3091,7.04016,,
Bad Gastein,,309596,47.11178,13.131924,1.0,
Bad Gastein,309596.0,441331,47.11178,13.131924,,
Bad Hersfeld,,553878,50.869766,9.716581,1.0,
Bad Hersfeld,553878.0,83150,50.869766,9.716581,,
Bad Hofgastein,,93359,47.195343,13.100503,1.0,
Bad Hofgastein,93359.0,154056,47.195343,13.100503,,
Bad Kleinen,615819.0,332718,53.766975,11.466925,,
Bad Kleinen Bahnhof,,615819,53.76746,11.466429,1.0,
Bad Nauheim,602225.0,67122,50.367905,8.749334,,
Bad Nauheim Bahnhof,,602225,50.367798,8.748327,1.0,
Bad Oeynhausen,557702.0,633570,52.2054,8.796523,,
"Bad Oeynhausen, Bf/ZOB",,557702,52.2054,8.796519,1.0,
Bad Zwischenahn,,188234,53.182568,8.002996,1.0,
Bad Zwischenahn,188234.0,489134,53.18242,8.003398,,
Baden(CH),,267775,47.476425,8.307709,1.0,
Baden(CH),267775.0,42037,47.476425,8.307709,,
Baden-Baden,,416317,48.7902,8.191036,1.0,
Baden-Baden,416317.0,390193,48.790325,8.190831,,
Bamberg,,152141,49.90076,10.899484,1.0,
Bamberg,152141.0,494364,49.90076,10.899489,,
Basel Bad Bf,,112669,47.567287,7.607805,1.0,
Basel Bad Bf,112669.0,589979,47.567287,7.607805,,
Basel SBB,,292057,47.547413,7.589563,1.0,
Basel SBB,292057.0,320476,47.547413,7.589563,,
Bebra,,591899,50.969566,9.797788,1.0,
Bebra,591899.0,542204,50.969566,9.797788,,
Bensheim,398936.0,145603,49.681328,8.616717,,
"Bensheim, Bahnhof",,398936,49.68095,8.616766,1.0,
Bergen Bahnhof,,655696,54.420822,13.418737,1.0,
Bergen auf Rügen,655696.0,425229,54.4205,13.417821,,
Berlin Gesundbrunnen,433436.0,292656,52.54869,13.390501,,7.0
Berlin Gesundbrunnen,433436.0,514896,52.548485,13.390691,,9.0
Berlin Gesundbrunnen,433436.0,568371,52.548794,13.3904,,6.0
Berlin Gesundbrunnen,433436.0,582982,52.548573,13.390519,,8.0
Berlin Gesundbrunnen,433436.0,664598,52.548386,13.390704,,10.0
Berlin Hbf,190061.0,252903,52.52488,13.369627,,12.0
Berlin Hbf,190061.0,35575,52.524788,13.369667,,11.0
Berlin Hbf,190061.0,36555,52.52496,13.368911,,1.0
Berlin Hbf,190061.0,494830,52.524967,13.369527,,13.0
Berlin Hbf,190061.0,599744,52.52507,13.369501,,14.0
Berlin Ostbahnhof,590380.0,13333,52.510254,13.435024,,3.0
Berlin Ostbahnhof,590380.0,192857,52.510178,13.434942,,2.0
Berlin Ostbahnhof,590380.0,245790,52.510414,13.435172,,6.0
Berlin Ostbahnhof,590380.0,406861,52.510242,13.434586,,1.0
Berlin Ostbahnhof,590380.0,477121,52.510475,13.43524,,7.0
Berlin Ostkreuz,303047.0,292435,52.50304,13.468615,,2.0
Berlin Ostkreuz,303047.0,406794,52.502907,13.468553,,1.0
Berlin Südkreuz,18072.0,457280,52.475433,13.365603,,7.0
Berlin Zoologischer Garten,393645.0,235891,52.50768,13.332686,,3.0
Berlin Zoologischer Garten,393645.0,276329,52.507717,13.332555,,4.0
Berlin Zoologischer Garten,393645.0,350963,52.50762,13.332927,,1.0
Berlin Zoologischer Garten,393645.0,536097,52.507652,13.332804,,2.0
Berlin-Charlottenburg,61475.0,60361,52.504173,13.301819,,3.0
Berlin-Lichtenberg,354182.0,118720,52.510002,13.49649,,17.0
Berlin-Spandau,532712.0,380537,52.534485,13.1971,,6.0
Berlin-Spandau,532712.0,504826,52.534542,13.197124,,5.0
Berlin-Spandau,532712.0,597724,52.534668,13.197191,,3.0
Berlin-Spandau,532712.0,76341,52.5346,13.197163,,4.0
Berlin-Wannsee,593022.0,261491,52.42135,13.180446,,6.0
Berlin-Wannsee,593022.0,71353,52.421402,13.180358,,5.0
Bern,,252286,46.948833,7.439131,1.0,
Bern,252286.0,227016,46.948833,7.439131,,
Biberach ZOB/Bahnhof,,144753,48.101456,9.792795,1.0,
Biberach(Riß),144753.0,607913,48.101845,9.793127,,
Bielefeld Hbf,,525944,52.029263,8.53272,1.0,
Bielefeld Hbf,525944.0,567505,52.029263,8.532722,,
Bingen(Rhein) Hbf,564016.0,480104,49.968727,7.884263,,
"Bingen, Hauptbahnhof",,564016,49.96874,7.883543,1.0,
Bischofshofen,,367121,47.41786,13.219888,1.0,
Bischofshofen,367121.0,495632,47.41786,13.219888,,
Bitterfeld,,325594,51.62286,12.31685,1.0,
Bitterfeld,325594.0,182310,51.62286,12.31685,,
Bludenz,,381405,47.154724,9.814564,1.0,
Bludenz,381405.0,11677,47.154724,9.814564,,
Bochnia,,470699,49.9773,20.430775,1.0,
Bochnia,470699.0,180257,49.9773,20.430775,,
Bochum Hbf,,361660,51.479465,7.223335,1.0,
Bochum Hbf,361660.0,546179,51.478607,7.223275,,
Bohumin,,341347,49.90073,18.359444,1.0,
Bohumin,341347.0,658358,49.90073,18.359444,,
