from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
590948,48038,2,0,0,0,0,0
48038,590948,2,0,0,0,0,0
330461,609021,2,50,0,0,0,0
609021,330461,2,50,0,0,0,0
357472,60307,2,0,0,0,0,0
60307,357472,2,0,0,0,0,0
132603,625442,2,1,0,0,0,0
625442,132603,2,1,0,0,0,0
6520,178110,2,1,0,0,0,0
178110,6520,2,1,0,0,0,0
370896,498027,2,0,0,0,0,0
498027,370896,2,0,0,0,0,0
497359,351656,2,0,0,0,0,0
351656,497359,2,0,0,0,0,0
632291,232163,2,1,0,0,0,0
232163,632291,2,1,0,0,0,0
86032,245304,2,28,0,0,0,0
245304,86032,2,28,0,0,0,0
144006,12550,2,1,0,0,0,0
12550,144006,2,1,0,0,0,0
658688,41391,2,0,0,0,0,0
41391,658688,2,0,0,0,0,0
175408,299850,2,0,0,0,0,0
299850,175408,2,0,0,0,0,0
669387,540276,2,1,0,0,0,0
540276,669387,2,1,0,0,0,0
178317,8751,2,1,0,0,0,0
8751,178317,2,1,0,0,0,0
71580,458097,2,8,0,0,0,0
458097,71580,2,8,0,0,0,0
271506,592464,2,0,0,0,0,0
592464,271506,2,0,0,0,0,0
32302,402368,2,0,0,0,0,0
402368,32302,2,0,0,0,0,0
309596,441331,2,0,0,0,0,0
441331,309596,2,0,0,0,0,0
553878,83150,2,0,0,0,0,0
83150,553878,2,0,0,0,0,0
93359,154056,2,0,0,0,0,0
154056,93359,2,0,0,0,0,0
332718,615819,2,79,0,0,0,0
615819,332718,2,79,0,0,0,0
67122,602225,2,91,0,0,0,0
602225,67122,2,91,0,0,0,0
633570,557702,2,1,0,0,0,0
557702,633570,2,1,0,0,0,0
188234,489134,2,40,0,0,0,0
489134,188234,2,40,0,0,0,0
267775,42037,2,0,0,0,0,0
42037,267775,2,0,0,0,0,0
416317,390193,2,26,0,0,0,0
390193,416317,2,26,0,0,0,0
152141,494364,2,1,0,0,0,0
494364,152141,2,1,0,0,0,0
112669,589979,2,0,0,0,0,0
589979,112669,2,0,0,0,0,0
112669,REG_655475,2,109,0,0,0,0
REG_655475,112669,2,109,0,0,0,0
112669,REG_267543,2,109,0,0,0,0
REG_267543,112669,2,109,0,0,0,0
589979,REG_655475,2,109,0,0,0,0
REG_655475,589979,2,109,0,0,0,0
589979,REG_267543,2,109,0,0,0,0
REG_267543,589979,2,109,0,0,0,0
292057,320476,2,0,0,0,0,0
320476,292057,2,0,0,0,0,0
591899,542204,2,0,0,0,0,0
542204,591899,2,0,0,0,0,0
145603,398936,2,53,0,0,0,0
398936,145603,2,53,0,0,0,0
655696,425229,2,87,0,0,0,0
425229,655696,2,87,0,0,0,0
292656,514896,2,33,0,0,0,0
514896,292656,2,33,0,0,0,0
292656,568371,2,17,0,0,0,0
568371,292656,2,17,0,0,0,0
292656,582982,2,17,0,0,0,0
582982,292656,2,17,0,0,0,0
292656,664598,2,46,0,0,0,0
664598,292656,2,46,0,0,0,0
292656,433436,2,181,0,0,0,0
433436,292656,2,181,0,0,0,0
292656,REG_62016,2,29,0,0,0,0
REG_62016,292656,2,29,0,0,0,0
292656,REG_227699,2,69,0,0,0,0
REG_227699,292656,2,69,0,0,0,0
292656,REG_364604,2,80,0,0,0,0
REG_364604,292656,2,80,0,0,0,0
292656,REG_578521,2,89,0,0,0,0
REG_578521,292656,2,89,0,0,0,0
292656,REG_98755,2,102,0,0,0,0
REG_98755,292656,2,102,0,0,0,0
514896,568371,2,50,0,0,0,0
568371,514896,2,50,0,0,0,0
514896,582982,2,19,0,0,0,0
582982,514896,2,19,0,0,0,0
514896,664598,2,14,0,0,0,0
664598,514896,2,14,0,0,0,0
514896,433436,2,198,0,0,0,0
433436,514896,2,198,0,0,0,0
514896,REG_62016,2,62,0,0,0,0
REG_62016,514896,2,62,0,0,0,0
514896,REG_227699,2,101,0,0,0,0
REG_227699,514896,2,101,0,0,0,0
514896,REG_364604,2,112,0,0,0,0
REG_364604,514896,2,112,0,0,0,0
514896,REG_578521,2,122,0,0,0,0
