route_id,service_id,trip_id
1,102,1286783
1,102,355257
1,292,457151
1,331,61444
1,331,926300
1,959,1372789
10,346,1399181
10,346,163414
10,346,469023
10,346,678137
11,289,609158
11,346,523337
11,401,140406
11,401,858897
11,508,1359281
11,508,728386
11,649,694726
11,911,1480366
12,102,364511
12,106,1221804
12,106,174835
12,106,354133
12,11,1102898
12,121,1074768
12,121,1360772
12,121,1489405
12,121,156835
12,121,426692
12,121,48301
12,121,704562
12,121,981488
12,15,708742
12,19,924166
12,19,924182
12,213,1199826
12,215,310114
12,22,615690
12,226,113610
12,226,284087
12,226,691319
12,227,1005819
12,227,590605
12,256,250204
12,26,466250
12,279,1149179
12,290,1172212
12,316,1273171
12,316,823791
12,316,967825
12,331,40974
12,349,303104
12,35,177143
12,354,1205466
12,354,379951
12,387,882490
12,389,1199632
12,389,1433583
12,389,893389
12,410,858604
12,426,672169
12,457,1476605
12,480,1264241
12,480,1477624
12,480,260131
12,480,300228
12,480,333564
12,480,33640
12,480,379266
12,480,499905
12,480,594428
12,480,866412
12,485,161548
12,485,767357
12,5,1001367
12,50,304722
12,501,414967
12,509,1099041
12,509,463790
12,576,504473
12,586,630387
12,609,1383493
12,617,166765
12,62,1405958
12,620,238624
12,641,101892
12,666,816662
12,678,1487268
12,690,1070002
12,698,583306
12,710,140816
12,710,965323
12,77,758528
12,77,922772
12,772,1030217
12,772,1182384
12,772,1273723
12,772,1427238
12,772,540656
12,772,57508
12,772,76312
12,772,852231
12,772,960179
12,772,97458
12,804,858609
12,823,447176
12,836,31042
12,857,624103
12,864,668831
12,867,715479
12,869,1437210
12,869,227873
12,869,400674
12,89,639532
12,89,918199
12,92,326474
12,927,951361
12,934,1372579
12,961,1220284
13,10,1417947
13,106,1263230
13,106,384564
13,106,385022
13,113,1003004
13,139,1021462
13,15,100806
13,15,1164930
13,15,1174640
13,15,1259426
13,15,1457702
13,15,413462
13,15,491414
13,15,561932
13,15,664140
13,15,96081
13,16,134130
13,170,1346534
13,180,972051
13,181,686705
13,184,889693
13,195,339136
13,203,1377752
13,203,159232
13,213,110886
13,218,301219
13,227,254475
13,230,341917
13,230,663253
13,26,1000212
13,26,10090
13,26,1370539
13,26,734684
13,26,909215
13,27,501370
13,271,114581
13,273,1444810
13,290,1447131
13,290,234015
13,290,253647
13,290,438247
13,290,852133
13,290,897502
13,290,958365
13,311,406372
13,316,1431980
13,316,606070
13,331,1063623
13,333,309712
13,336,513632
13,343,1409207
13,355,185947
13,369,966191
13,388,1046094
13,388,1105885
13,388,1291921
13,388,1385195
13,388,1463641
13,388,247459
13,388,528835
13,388,642229
13,388,822926
13,388,992514
13,416,22946
13,422,1278086
13,43,814326
13,464,1023048
13,464,1070686
13,464,1140713
13,464,1341834
13,464,166998
13,464,222104
13,464,228721
13,464,253125
13,464,901996
13,464,957288
13,475,202854
13,487,1020951
13,487,955709
13,509,68274
13,514,1310118
13,536,1103180
13,536,1421295
13,536,165262
13,536,716278
13,536,794067
13,536,841479
13,536,871193
13,549,422792
13,556,193967
13,558,1291643
13,568,1291269
13,569,1488741
13,584,1043526
13,586,247144
13,586,348307
13,587,1230630
13,587,834649
13,59,402692
13,597,184535
13,616,169180
13,616,283335
13,616,367345
13,616,502534
13,616,513844
13,616,597549
13,616,598400
13,616,613090
13,616,746353
13,616,859485
13,616,877153
13,616,966636
13,641,419567
13,641,833443
13,65,1492818
13,654,549823
13,68,350860
13,690,1467844
13,690,366129
13,690,438686
13,7,211483
13,7,77718
13,724,1027230
13,724,1320227
13,724,417300
13,724,666764
13,724,886588
13,75,1041991
13,75,1066895
13,75,1069629
13,75,1141513
13,75,1295435
13,75,1454610
13,75,190719
13,75,214588
13,75,402242
13,75,791774
13,758,4606
13,758,848631
13,758,873749
13,772,1433706
13,775,996128
13,804,1114995
13,804,701857
13,804,995395
13,823,536769
13,842,397781
13,867,60342
13,879,1272702
13,879,571324
13,879,771903
13,887,1003642
13,887,13958
13,887,1399746
13,887,1421718
13,887,323858
13,887,421631
13,887,47152
13,887,535518
13,887,714969
13,89,648579
13,89,69471
13,89,722968
13,89,744133
13,89,808502
13,903,1497577
13,903,821246
13,904,782731
13,91,1091928
13,91,12350
13,91,272043
13,92,1239895
13,934,257372
13,934,542407
13,934,688436
13,940,695016
13,940,768650
13,949,1096858
13,949,563113
13,967,914312
14,131,422563
14,139,108182
14,139,829898
14,223,427954
14,230,559390
14,230,839301
14,234,581525
14,234,735661
14,238,1147159
14,238,334265
14,260,768440
14,273,407189
14,276,682935
14,316,861766
14,325,508554
14,325,706707
14,336,1097959
14,336,1170479
14,336,1208669
14,336,121454
14,336,1222934
14,336,1365242
14,336,1380564
14,336,1422118
14,336,1487920
14,336,148888
14,336,333262
14,336,407488
14,336,530334
14,336,541128
14,336,545544
14,336,55180
14,336,579118
14,336,601610
14,336,740759
14,336,755684
14,336,765320
14,336,80640
14,336,830384
14,336,918822
14,480,953149
14,501,1049158
14,536,1202079
14,536,1232875
14,536,124246
14,536,1256142
14,536,701460
14,536,994650
14,565,88191
14,60,238749
14,60,682572
14,616,1075645
14,616,1103638
14,616,1140746
14,616,1210008
14,616,130992
14,616,1458165
14,616,1488754
14,616,161233
14,616,193770
14,616,206804
14,616,242539
14,616,278876
14,616,354408
14,616,392972
14,616,397000
14,616,468397
14,616,529036
14,616,602000
14,616,702085
14,616,725252
14,616,753249
14,616,894123
14,641,1012514
14,641,1425921
14,642,1006039
14,642,803100
14,65,1157146
14,65,1220453
14,65,1275058
14,65,1294437
14,65,1401538
14,65,1456621
14,65,1458847
14,65,191407
14,65,220616
14,65,291232
14,65,319838
14,65,333656
14,65,338601
14,65,431302
14,65,461945
14,65,528615
14,65,607742
14,65,622930
14,65,710624
14,65,715972
14,65,733867
14,65,845785
14,65,893203
14,65,89963
14,65,930278
14,65,997531
14,696,488392
14,7,1154344
14,7,727803
14,70,1179628
14,70,792068
14,707,1354294
14,804,1422398
14,804,786907
14,809,272176
14,871,1015428
14,871,1019750
14,871,1091067
14,871,1107891
14,871,1167829
14,871,1209098
14,871,1214381
14,871,1227738
14,871,1242278
14,871,1302444
14,871,1307139
14,871,1387548
14,871,1420640
14,871,200820
14,871,271421
14,871,274878
14,871,300071
14,871,351963
14,871,441917
14,871,605250
14,871,623561
14,871,635164
14,871,68862
14,871,77823
14,871,869906
14,871,909558
14,871,986126
14,879,168349
14,89,106291
14,89,1135612
14,89,1183277
14,89,322815
14,89,370283
14,89,433150
14,89,433489
14,91,898713
14,916,520633
14,964,1451292
15,106,417986
15,121,569087
15,139,1474183
15,216,1200121
15,216,739880
